Column1,Domain,Phylum,Class,Order,Family,Genus
OTU1,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
OTU2,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
OTU4,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Ralstonia
OTU6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Unclassified
OTU7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Unclassified
OTU8,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Zea
OTU9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Unclassified
OTU10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unclassified
OTU11,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Unclassified
OTU12,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia
OTU13,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
OTU14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Unclassified
OTU15,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
OTU16,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus
OTU17,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Lupinus
OTU18,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
OTU19,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax
OTU20,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
OTU21,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU22,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
OTU23,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU24,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU25,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
OTU26,Bacteria,Firmicutes,Bacilli,Lactobacillales,Unclassified,Unclassified
OTU27,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU28,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter
OTU29,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
OTU30,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
OTU31,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Unclassified
OTU32,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum
OTU33,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
OTU34,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Pseudoalteromonadaceae,Unclassified
OTU35,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
OTU36,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Unclassified
OTU37,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
OTU38,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
OTU39,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Unclassified
OTU40,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,Unclassified,Unclassified
OTU41,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Unclassified
OTU42,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus
OTU43,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
OTU44,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio
OTU45,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus
OTU46,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium
OTU47,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
