ID,Bozzi_et_al,Wolters_et_al,Health_state,Myco90_2,Myco90,Sample_names
2,02C,H01,H,SSA,Aliivibrio,H01
5,05C,H02,H,SSM,Mycoplasma,H02
6,06C,H03,H,SSM,Mycoplasma,H03
7,,H04,H,unknown,unknown,H04
9,09C,H05,H,SSM,Mycoplasma,H05
11,11C,H06,H,SSM,Mycoplasma,H06
14,14C,H07,H,SSM,Mycoplasma,H07
18,18C,H08,H,SSM,Mycoplasma,H08
24,24C,H09,H,SSM,Mycoplasma,H09
25,25C,H10,H,SSA,Aliivibrio,H10
26,26C,H11,H,SSA,Aliivibrio,H11
27,27C,H12,H,SSM,Mycoplasma,H12
29,29C,H13,H,SSM,Mycoplasma,H13
30,30C,H14,H,SSM,Mycoplasma,H14
31,31C,H15,H,SSM,Mycoplasma,H15
32,32C,H16,H,SSM,Mycoplasma,H16
35,35C,H17,H,SSM,Mycoplasma,H17
36,36C,H18,H,SSM,Mycoplasma,H18
37,37C,H19,H,SSM,Mycoplasma,H19
40,40C,H20,H,SSM,Mycoplasma,H20
1,01C,,S,unknown,unknown,
3,03C,,S,unknown,unknown,
4,04C,,S,unknown,unknown,
8,08C,,S,unknown,unknown,
10,10C,S05,S,SSA,Aliivibrio,S05
12,12C,S06,S,SSA,Aliivibrio,S06
13,13C,S07,S,SSA,Aliivibrio,S07
15,15C,,S,unknown,unknown,
16,16C,S09,S,SSM,Mycoplasma,S09
17,17C,S10,S,SSM,Mycoplasma,S10
19,19C,S11,S,SSM,Mycoplasma,S11
20,20C,S12,S,SSM,Mycoplasma,S12
21,21C,S13,S,SSM,Mycoplasma,S13
22,22C,S14,S,SSA,Aliivibrio,S14
23,23C,S15,S,SSA,Aliivibrio,S15
28,28C,,S,unknown,unknown,
33,,S17,S,unknown,unknown,S17
34,34C,S18,S,SSA,Aliivibrio,S18
38,38C,S19,S,SSM,Mycoplasma,S19
39,39C,,S,unknown,unknown,
