"","Sample","Proportion","Ct","OTU"
"1","01C","1","19.77","OTU1"
"2","01M","1","22.57","OTU1"
"3","02C","0.794","29.82","OTU1"
"4","02M","0.12725","33.51","OTU1"
"5","03C","1","18.64","OTU1"
"6","04C","0.9985","18.1","OTU1"
"7","04M","0.9985","24.04","OTU1"
"8","05C","0","23.13","OTU1"
"9","05M","0","34.89","OTU1"
"10","06C","0","22.59","OTU1"
"11","06M","0","35.27","OTU1"
"12","07C","0","28.87","OTU1"
"13","08C","0.99675","26.25","OTU1"
"14","08M","0.99575","25.89","OTU1"
"15","09C","0","22.6","OTU1"
"16","09M","0","29.25","OTU1"
"17","10C","0.304","23.46","OTU1"
"18","10M","0.11225","31.29","OTU1"
"19","11C","0","21.69","OTU1"
"20","11M","0.00725","29.39","OTU1"
"21","12C","0.09775","24.77","OTU1"
"22","12M","0.96875","25.56","OTU1"
"23","13C","0.097","24.38","OTU1"
"24","13M","0.99575","24.16","OTU1"
"25","14C","0","26.11","OTU1"
"26","15C","0.9995","18.58","OTU1"
"27","15M","1","23.07","OTU1"
"28","16C","0.02675","23.53","OTU1"
"29","17C","0","22.85","OTU1"
"30","18C","0","24.91","OTU1"
"31","19C","0","23.65","OTU1"
"32","19M","0","29.7","OTU1"
"33","20C","0","22.78","OTU1"
"34","20M","0","30.54","OTU1"
"35","22C","0.99875","16.18","OTU1"
"36","22M","1","20.17","OTU1"
"37","23C","0.884","19.3","OTU1"
"38","23M","0.99925","24.23","OTU1"
"39","24C","0.0075","25.63","OTU1"
"40","25C","0.79625","22.23","OTU1"
"41","25M","0.9935","24.63","OTU1"
"42","26C","1","22.65","OTU1"
"43","26M","0.99175","29.75","OTU1"
"44","27C","0","23.25","OTU1"
"45","27M","0","28.4","OTU1"
"46","28C","0.99425","18.61","OTU1"
"47","28M","1","20.68","OTU1"
"48","29C","0.004","26.71","OTU1"
"49","29M","0.00125","29.21","OTU1"
"50","30C","0","23.94","OTU1"
"51","31C","0.067","22.87","OTU1"
"52","31M","0.161","30.8","OTU1"
"53","32C","0.01525","26.11","OTU1"
"54","34C","1","18.5","OTU1"
"55","34M","1","19.1","OTU1"
"56","35C","0.03675","24.87","OTU1"
"57","36C","5e-04","28.05","OTU1"
"58","37C","0.00675","22.89","OTU1"
"59","37M","0","29.18","OTU1"
"60","38C","0","23.57","OTU1"
"61","38M","0","28.21","OTU1"
"62","39C","1","22.48","OTU1"
"63","39M","1","22.9","OTU1"
"64","40C","0","24.99","OTU1"
"65","40M","0","29.08","OTU1"
"66","41C","0.95","21.83","OTU1"
"67","41M","0.99925","25.46","OTU1"
"68","42C","0","19.62","OTU1"
"69","42M","0.0065","29.88","OTU1"
"70","43C","0.9975","27.35","OTU1"
"71","44C","0.99175","27.98","OTU1"
"72","45C","0.00375","28.23","OTU1"
"73","46C","0.046","27.92","OTU1"
"74","47C","0.00025","24.12","OTU1"
"75","47M","0.0075","33.27","OTU1"
"76","48M","0.9595","28.03","OTU1"
"77","49C","0.9905","19.86","OTU1"
"78","50M","0.9995","23.93","OTU1"
"79","51M","0.998","34.14","OTU1"
"80","52C","0.00325","25.23","OTU1"
"81","52M","0.00175","30.43","OTU1"
"82","53C","0.21075","22.24","OTU1"
"83","54C","0","21.07","OTU1"
"84","55C","0.3285","25.35","OTU1"
"85","56M","0.998","31.92","OTU1"
"86","57M","0.999","27.24","OTU1"
"87","58M","0.9995","26.87","OTU1"
"88","60C","0.01725","26.07","OTU1"
"89","60M","0.02225","27.97","OTU1"
"90","61C","0","26.29","OTU1"
"91","62C","0.53775","24.71","OTU1"
"92","62M","0.9445","31.1","OTU1"
"93","64C","0.9925","21.76","OTU1"
"94","65M","0.999","26.97","OTU1"
"95","66C","0.9545","23.33","OTU1"
"96","66M","0.47425","36.36","OTU1"
"97","67C","0.392","26.99","OTU1"
"98","68C","0.62525","26.1","OTU1"
"99","69C","0.4325","23.03","OTU1"
"100","69M","1","23.43","OTU1"
"101","70C","1","18.86","OTU1"
"102","71C","0","25.68","OTU1"
"103","71M","0.17425","33.79","OTU1"
"104","72C","0.702","21.47","OTU1"
"105","72M","1","32.94","OTU1"
"106","73C","0.56725","22.85","OTU1"
"107","74C","0.00175","25.92","OTU1"
"108","75C","0.1185","21.34","OTU1"
"109","76C","0.75625","21.68","OTU1"
"110","77C","0.6305","23.29","OTU1"
"111","77M","0.999","27.87","OTU1"
"112","79C","0.995","24.47","OTU1"
"113","80C","0.0185","29.4","OTU1"
"114","01C","0","19.77","OTU2"
"115","01M","0","22.57","OTU2"
"116","02C","0.15425","29.82","OTU2"
"117","02M","0.0845","33.51","OTU2"
"118","03C","0","18.64","OTU2"
"119","04C","0.00025","18.1","OTU2"
"120","04M","5e-04","24.04","OTU2"
"121","05C","0.99775","23.13","OTU2"
"122","05M","0.697","34.89","OTU2"
"123","06C","0.99825","22.59","OTU2"
"124","06M","0.96325","35.27","OTU2"
"125","07C","0.7025","28.87","OTU2"
"126","08C","0","26.25","OTU2"
"127","08M","0","25.89","OTU2"
"128","09C","1","22.6","OTU2"
