Samples;NODE_1_length_22303_cov_5.749775;NODE_11_length_3137_cov_2.450498;NODE_3_length_15335_cov_8.231852;NODE_4_length_15002_cov_5.222723;NODE_5_length_14811_cov_7.549986;NODE_6_length_14680_cov_10.716347;NODE_7_length_14674_cov_8.407988;NODE_11_length_10953_cov_1.387770;NODE_12_length_9335_cov_5.195374;NODE_14_length_7965_cov_4.991452;NODE_18_length_5986_cov_8.451442;NODE_22_length_5829_cov_7.743599;NODE_26_length_5425_cov_1.197433;NODE_31_length_4976_cov_1.209734;NODE_40_length_4284_cov_1.652634;NODE_45_length_4082_cov_8.551201;NODE_31_length_3433_cov_0.975802;NODE_1_length_56040_cov_10.309427;NODE_2_length_52364_cov_8.693168;NODE_67_length_8038_cov_12.352421;NODE_149_length_5615_cov_7.948069;NODE_292_length_4018_cov_1.429453;NODE_365_length_3544_cov_1.030729;NODE_366_length_3543_cov_0.854801;NODE_368_length_3510_cov_2.866391;NODE_419_length_3177_cov_8.588197;NODE_428_length_3109_cov_1.519450
S05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314762.34;0
S06;398;10451669;0;0;0;0;0;5986832;0;0;0;0;24174662;65890;76533345;0;0;0;0;0;0;81600015;0;9254;28023;0;10545798
S07;24737664;21984545;0;0;0;0;0;0;0;0;0;0;19068807;0;0;0;40178;0;0;0;0;34328;0;0;0;0;0
S09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;291290;0;0;0;0;0;0;0;0;0;0
S10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
S13;0;0;0;0;12660;0;0;0;0;0;10441029;0;0;0;0;0;0;61340117;0;15551132;0;0;0;0;0;0;0
S14;27418378;1190012;4188812;26471626;38047092;5452231;4286037;7189807;26717139;25108071;43802803;38776526;44564163;6198202;8527249;4252515;46085342;4869667;4130619;57611113;35584683;26987738;20063784;4064063;23550082;0;52889276
S15;18719833;25759668;4575699;32049597;34736218;5862439;4231126;0;2726786;28068928;4454839;40203025;34756165;32479132;0;36622969;7846206;49820117;39377297;6182753;42694683;670384;76004585;0;11511123;0;17327776
S18;0;0;10868384;0;0;7568877;0;0;0;0;0;9531;0;0;0;0;0;8922198;0;0;0;0;0;0;0;0;0
S19;0;0;0;198;6430227;64876084;0;0;0;0;3977535;8169334;0;0;0;0;0;6797865;0;59242407;16961371;0;0;0;0;0;0
H01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H02;0;0;0;0;11252897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314762;0
H07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314762;0
H09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;314762;0
H10;4575206;6848032;39924678;17183531;30458972;37315945;33671282;0;1380757;17531047;2691565;36854138;1187;8418497;0;55258184;9073493;3967551;33640415;4142514;30606985;4811859;5455431;0;15300767;0;0
H11;11933807;0;2975375;22810647;2438841;63457695;45345454;0;36658308;28642422;31759783;2609217;0;4584744;0;37259004;0;54958027;37758503;4966902;2709;0;0;0;0;2394;0
H12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157381;0
H13;3110082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41177893;0;0;0;0;310760;0
H14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H15;0;0;0;0;0;0;0;0;0;0;0;0;0;80386;0;0;0;0;0;0;0;0;0;0;0;125905;0
H16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
